census_subdivision_id,broadband_coverage,dsl_cable_coverage,fixed_wireless_coverage,mobility_coverage,satellite_coverage
5937021,0.371000,0.360000,0.088000,0.551000,0.560000
5937022,0.173000,0.073000,0.163000,0.272000,0.389000
5937023,0.004000,0.000000,0.004000,0.011000,0.175000
5937024,0.696000,0.495000,0.527000,0.999000,1.000000
5937028,1.000000,1.000000,1.000000,1.000000,1.000000
5937033,1.000000,0.902000,1.000000,1.000000,1.000000
5937041,0.095000,0.037000,0.082000,0.202000,0.310000
5937801,0.872000,0.872000,0.069000,1.000000,1.000000
5937802,0.909000,0.838000,0.893000,1.000000,1.000000
5937803,1.000000,1.000000,0.000000,1.000000,1.000000
5937805,0.681000,0.681000,0.000000,1.000000,1.000000
5939007,0.955000,0.948000,0.772000,0.966000,0.966000
5939011,0.045000,0.012000,0.037000,0.044000,0.062000
5939019,0.886000,0.886000,0.000000,0.917000,0.917000
5939023,0.008000,0.008000,0.000000,0.022000,0.044000
5939032,0.966000,0.919000,0.861000,0.998000,0.999000
5939037,0.744000,0.340000,0.645000,0.833000,0.833000
5939039,0.280000,0.245000,0.082000,0.720000,0.833000
5939043,0.113000,0.093000,0.026000,0.305000,0.305000
5939044,0.094000,0.061000,0.061000,0.138000,0.165000
5939045,1.000000,1.000000,0.031000,1.000000,1.000000
5939801,1.000000,0.257000,1.000000,1.000000,1.000000
5939802,0.986000,0.000000,0.986000,0.998000,1.000000
5939803,1.000000,0.111000,1.000000,1.000000,1.000000
5939804,0.093000,0.007000,0.086000,1.000000,1.000000
5939805,0.502000,0.151000,0.502000,1.000000,1.000000
5939806,0.078000,0.020000,0.078000,1.000000,1.000000
5939807,1.000000,0.751000,1.000000,0.883000,1.000000
5939808,1.000000,0.940000,0.999000,1.000000,1.000000
5939811,1.000000,0.900000,1.000000,1.000000,1.000000
5941005,0.973000,0.476000,0.971000,1.000000,1.000000
5941009,0.948000,0.947000,0.083000,0.999000,1.000000
5941010,0.249000,0.088000,0.161000,0.710000,0.789000
5941012,0.060000,0.048000,0.044000,0.307000,0.493000
5941013,1.000000,0.731000,1.000000,1.000000,1.000000
5941014,0.019000,0.005000,0.014000,0.035000,0.218000
5941015,0.175000,0.019000,0.175000,0.282000,0.320000
5941016,0.027000,0.001000,0.027000,0.081000,0.313000
5941017,0.397000,0.022000,0.388000,0.305000,0.637000
5941019,0.598000,0.091000,0.598000,0.633000,0.680000
5941021,0.384000,0.023000,0.384000,0.488000,0.564000
5941025,0.130000,0.000000,0.130000,0.000000,0.506000
5941026,0.057000,0.003000,0.057000,0.056000,0.124000
5941027,0.059000,0.001000,0.059000,0.045000,0.147000
5941039,0.012000,0.002000,0.012000,0.000000,0.074000
5941041,0.004000,0.000000,0.004000,0.009000,0.070000
5941801,0.000000,0.000000,0.000000,0.000000,0.968000
5941802,0.000000,0.000000,0.000000,0.060000,1.000000
5941803,1.000000,0.000000,1.000000,1.000000,1.000000
5941804,0.000000,0.000000,0.000000,0.000000,0.977000
5941805,0.055000,0.055000,0.000000,0.923000,1.000000
5941806,0.000000,0.000000,0.000000,0.000000,1.000000
5941807,0.000000,0.000000,0.000000,0.000000,1.000000
5941808,0.000000,0.000000,0.000000,0.000000,0.737000
5941809,1.000000,0.839000,1.000000,1.000000,1.000000
5941810,0.240000,0.000000,0.240000,1.000000,1.000000
5941811,0.000000,0.000000,0.000000,0.005000,1.000000
5941812,0.127000,0.121000,0.006000,1.000000,1.000000
5941813,0.321000,0.000000,0.321000,0.964000,1.000000
5941817,0.000000,0.000000,0.000000,0.000000,1.000000
5941818,0.000000,0.000000,0.000000,0.000000,1.000000
5941819,0.000000,0.000000,0.000000,0.000000,0.000000
5941820,0.000000,0.000000,0.000000,0.000000,0.000000
5941821,0.000000,0.000000,0.000000,0.000000,0.423000
5941827,0.000000,0.000000,0.000000,0.000000,0.000000
5941828,0.000000,0.000000,0.000000,0.000000,1.000000
5941829,0.000000,0.000000,0.000000,0.000000,1.000000
5941831,0.000000,0.000000,0.000000,0.000000,1.000000
5941833,0.000000,0.000000,0.000000,0.000000,0.922000
5941834,0.000000,0.000000,0.000000,0.000000,1.000000
5941835,0.000000,0.000000,0.000000,0.000000,1.000000
5941837,0.920000,0.000000,0.920000,0.000000,0.942000
5941838,0.000000,0.000000,0.000000,0.000000,1.000000
5941839,0.000000,0.000000,0.000000,0.000000,1.000000
5941840,0.995000,0.000000,0.995000,0.000000,1.000000
5941841,0.000000,0.000000,0.000000,0.000000,1.000000
5941842,0.000000,0.000000,0.000000,0.000000,0.225000
5941843,0.000000,0.000000,0.000000,0.000000,0.000000
5941844,0.000000,0.000000,0.000000,0.000000,0.000000
5941845,0.852000,0.000000,0.852000,0.000000,1.000000
5941846,0.000000,0.000000,0.000000,0.000000,0.000000
5941847,0.000000,0.000000,0.000000,0.000000,1.000000
5941848,0.000000,0.000000,0.000000,0.000000,0.000000
5941849,0.000000,0.000000,0.000000,0.000000,1.000000
5941850,0.000000,0.000000,0.000000,0.000000,0.785000
5941851,0.855000,0.002000,0.854000,0.000000,1.000000
5941852,0.000000,0.000000,0.000000,0.000000,1.000000
5941854,0.000000,0.000000,0.000000,0.000000,1.000000
5941855,0.726000,0.000000,0.726000,1.000000,1.000000
5941856,0.000000,0.000000,0.000000,0.000000,0.000000
5941858,0.000000,0.000000,0.000000,0.000000,1.000000
5941859,0.000000,0.000000,0.000000,0.000000,1.000000
5941860,0.000000,0.000000,0.000000,0.000000,0.000000
5941861,0.000000,0.000000,0.000000,0.000000,0.000000
5941862,0.000000,0.000000,0.000000,0.000000,1.000000
5941863,0.000000,0.000000,0.000000,0.000000,0.000000
5941864,0.000000,0.000000,0.000000,0.000000,1.000000
5941865,0.000000,0.000000,0.000000,0.000000,0.000000
5941866,0.000000,0.000000,0.000000,0.000000,0.779000
5941868,0.000000,0.000000,0.000000,0.604000,1.000000
5941871,1.000000,1.000000,1.000000,0.000000,1.000000
5941872,0.000000,0.000000,0.000000,0.619000,1.000000
5941873,0.000000,0.000000,0.000000,0.072000,1.000000
5941876,0.000000,0.000000,0.000000,0.000000,1.000000
5941879,0.000000,0.000000,0.000000,0.000000,1.000000
5941880,1.000000,0.000000,1.000000,0.000000,1.000000
5941881,0.000000,0.000000,0.000000,0.000000,1.000000
5941882,1.000000,0.000000,1.000000,1.000000,1.000000
5941883,0.000000,0.000000,0.000000,0.000000,0.921000
5941884,0.000000,0.000000,0.000000,0.000000,1.000000
5941885,0.000000,0.000000,0.000000,0.623000,1.000000
5943008,0.000000,0.000000,0.000000,1.000000,1.000000
5943012,0.575000,0.575000,0.000000,0.952000,0.952000
5943017,0.000000,0.000000,0.000000,0.817000,1.000000
5943023,0.366000,0.366000,0.000000,0.868000,0.868000
5943027,0.000000,0.000000,0.000000,0.003000,0.015000
5943031,0.027000,0.027000,0.000000,0.138000,0.181000
5943033,0.000000,0.000000,0.000000,0.008000,0.015000
5943037,0.000000,0.000000,0.000000,0.012000,0.016000
5943804,0.000000,0.000000,0.000000,1.000000,1.000000
5943806,0.899000,0.899000,0.000000,0.899000,0.899000
5943807,0.000000,0.000000,0.000000,1.000000,1.000000
5943808,0.000000,0.000000,0.000000,1.000000,1.000000
5943809,0.000000,0.000000,0.000000,0.000000,0.000000
5943813,0.000000,0.000000,0.000000,0.000000,1.000000
5943815,0.001000,0.001000,0.000000,1.000000,1.000000
5943816,0.000000,0.000000,0.000000,1.000000,1.000000
5943817,0.000000,0.000000,0.000000,1.000000,1.000000
5943836,0.000000,0.000000,0.000000,0.000000,0.316000
5943837,0.000000,0.000000,0.000000,1.000000,1.000000
5945006,0.000000,0.000000,0.000000,0.001000,0.004000
5945010,0.005000,0.000000,0.005000,0.010000,0.041000
5945012,0.000000,0.000000,0.000000,0.206000,0.252000
5945014,0.000000,0.000000,0.000000,0.070000,0.099000
5945801,0.000000,0.000000,0.000000,0.798000,0.919000
5945802,0.000000,0.000000,0.000000,0.913000,1.000000
5945803,0.000000,0.000000,0.000000,0.000000,0.510000
5947007,0.416000,0.416000,0.000000,0.181000,0.418000
5947012,0.814000,0.814000,0.000000,0.820000,0.820000
5947016,0.013000,0.013000,0.000000,0.015000,0.030000
5947021,0.001000,0.001000,0.000000,0.003000,0.005000
5947023,0.851000,0.000000,0.851000,0.851000,0.000000
5947026,0.816000,0.000000,0.816000,0.207000,0.979000
5947027,0.011000,0.000000,0.011000,0.005000,0.010000
5947030,0.470000,0.000000,0.470000,0.000000,0.000000
5947032,0.006000,0.000000,0.006000,0.006000,0.009000
5947803,0.886000,0.000000,0.886000,0.886000,0.000000
5947804,0.998000,0.000000,0.998000,0.890000,1.000000
5947806,0.000000,0.000000,0.000000,0.907000,1.000000
5947807,0.000000,0.000000,0.000000,0.000000,0.450000
5947809,0.000000,0.000000,0.000000,0.000000,0.360000
5947810,0.000000,0.000000,0.000000,0.114000,0.114000
5949005,0.391000,0.391000,0.000000,0.498000,0.498000
5949011,0.877000,0.584000,0.810000,0.890000,0.890000
5949013,0.037000,0.012000,0.034000,0.039000,0.070000
5949018,0.996000,0.985000,0.520000,0.997000,0.997000
5949020,0.003000,0.002000,0.000000,0.004000,0.005000
5949022,1.000000,0.042000,1.000000,0.997000,1.000000
5949024,0.803000,0.000000,0.803000,0.804000,0.853000
5949028,0.065000,0.003000,0.065000,0.035000,0.104000
5949032,0.080000,0.000000,0.080000,0.000000,0.080000
5949035,0.000000,0.000000,0.000000,0.000000,0.142000
5949038,0.006000,0.006000,0.000000,0.000000,0.009000
5949039,0.000000,0.000000,0.000000,0.000000,0.006000
5949041,0.000000,0.000000,0.000000,0.000000,0.005000
5949802,0.000000,0.000000,0.000000,0.000000,1.000000
5949803,0.004000,0.004000,0.000000,1.000000,1.000000
5949804,0.708000,0.567000,0.708000,0.709000,0.709000
5949805,0.364000,0.355000,0.151000,0.568000,0.568000
5949807,1.000000,0.847000,0.961000,1.000000,1.000000
5949810,1.000000,0.737000,1.000000,0.796000,1.000000
5949811,0.996000,0.000000,0.996000,1.000000,1.000000
5949812,1.000000,0.276000,1.000000,0.999000,1.000000
