CSD_UID,OFFNAME,OFF_CSDTYPE,POP,PRIV_DWELL,OCC_DWELL,LAND_AREA,REPPOINT_LATITUDE,REPPOINT_LONGITUDE,MET_NMET_CODE
5933897,Boothroyd 8A (Part),IRI,0,0,0,0.0311,50.055927,-121.544941,999
5935010,Kelowna,CY,117312,54760,49668,211.816,49.882519,-119.440415,915
5935012,Central Okanagan,RDA,3795,1655,1518,1246.5089,49.912911,-119.200715,915
5935016,Lake Country,DM,11708,5217,4533,122.1933,50.07349,-119.406091,915
5935018,Peachland,DM,5200,2652,2311,15.7496,49.775183,-119.735499,915
5935020,Central Okanagan J,RDA,1947,1540,859,1172.6895,50.024243,-119.688002,915
5935029,West Kelowna,DM,30892,13034,11803,123.5101,49.863916,-119.611334,915
5935801,Duck Lake 7,IRI,1917,1301,972,2.0172,50.009308,-119.397116,915
5935802,Tsinstikeptum  9,IRI,5882,3145,2791,6.9166,49.839911,-119.60734,915
5935803,Tsinstikeptum 10,IRI,1186,532,487,3.4634,49.881191,-119.538021,915
5937005,Lumby,VL,1731,756,716,5.7392,50.249585,-118.971978,996
5937010,Coldstream,DM,10314,4023,3798,66.2769,50.224277,-119.167702,918
5937014,Vernon,CY,38150,18244,16430,95.756,50.229602,-119.347403,918
5937017,North Okanagan B,RDA,3046,1341,1184,488.5791,50.360354,-119.50803,918
5937021,North Okanagan C,RDA,3872,2168,1462,299.7888,50.361423,-119.099698,918
5937022,North Okanagan D,RDA,2848,1245,1141,1792.437,50.169909,-118.878144,997
5937023,North Okanagan E,RDA,939,476,409,2605.7767,50.359978,-118.514052,997
5937024,Spallumcheen,DM,5055,2026,1948,255.7719,50.438024,-119.204576,997
5937028,Armstrong,CY,4815,2067,1986,5.1888,50.444312,-119.198011,997
5937033,Enderby,CY,2932,1454,1347,4.2632,50.553869,-119.144154,997
5937041,North Okanagan F,RDA,3938,2176,1632,1769.0135,50.682164,-118.755404,997
5937801,Okanagan (Part) 1,IRI,2604,1750,1229,90.0623,50.322836,-119.362518,918
5937802,Enderby 2,IRI,390,145,140,23.0805,50.532123,-119.144841,997
5937803,Priest's Valley 6,IRI,598,334,323,0.3579,50.24704,-119.338475,918
5937805,Harris 3,IRI,5,3,2,0.5088,50.387281,-119.233657,999
