Name,First Nations/Band Name,Type,Nation,Population,Address,City,Province,Postal Code,Latitude,Longitude
Doig River First Nation,Doig River First Nation,First Nation or Band,Dunne-zaa (Beaver),302,PO BOX 56,Rose Prairie,BC,V0C 2H0,56.573056,-120.491111
Dzawada'enuxw ,,First Nation or Band,Kwakwaka'wakw,534,General Delivery,Kingcome Inlet,BC,V0N 2B0,50.972595,-126.175781
Ehattesaht,Ì_ÌÒiiåàÌ_å«atis,First Nation or Band,Nuu-chah-nulth,462,PO BOX 59,Zeballos,BC,V0P 2A0,49.87384,-126.976196
Esk'etemc,Alkali Lake,First Nation or Band,Secwepemc,950,PO BOX 4479,Williams Lake,BC,V2G 2V5,51.788635,-122.229675
Esquimalt,,First Nation or Band,Coast Salish,298,1189 Kosapsum CRES,Victoria,BC,V9A 7K7,48.445007,-123.429993
Fort Nelson First Nation,Fort Nelson First Nation,First Nation or Band,Dene / Cree,902,"MILE 295 Alaska HWY, RR 1",Fort Nelson,BC,V0C 1R0,58.792419,-122.546875
Gitanmaax,,First Nation or Band,Gitxsan,2365,PO Box 440  ,Hazelton ,BC,V0J 1Y0,55.255,-127.671111
Gitanyow,,First Nation or Band,Gitxsan,835,PO Box 340,Kitwanga,BC,V0J 2A0,55.258788,-128.058816
Gitga'at Nation,Hartley Bay,First Nation or Band,Tsimshian,736,General Delivery 445 Hayimiisaxaa Way,Hartley Bay,BC,V0V 1A0,53.424194,-129.253784
Gitsegukla Band Council,Gitsegukla Band,First Nation or Band,Gitxsan,986,"710 Raycharles AVE, RR 1",Gitsegukla,BC,V0J 2J3,55.096944,-127.828889
Gitwangak,Kitwanga,First Nation or Band,Gitxsan,1306,PO BOX 400,Kitwanga,BC,V0J 2A0,55.096178,-128.075998
Gitxaala Nation,Kitkatla First Nation,First Nation or Band,Tsimshian,1917,PO BOX 149,Kitkatla,BC,V0V 1C0,53.773987,-130.438904
Glen Vowell,Sik-e-Dakh,First Nation or Band,Gitxsan,413,RR 1 SITE J COMP 43,Hazelton,BC,V0J 1Y0,55.308056,-127.683056
Gwa'Sala-Nakwaxda'xw,Tsulquate,First Nation or Band,Kwakwaka'wakw,942,PO BOX 998,Port Hardy,BC,V0N 2P0,50.733215,-127.498596
Gwawaenuk Tribe,Gwawa'enuxw,First Nation or Band,Kwakwaka'wakw,41,PO BOX 344,Port Mcneil,BC,V0N 2R0,50.923925,-126.820882
Hagwilget Village ,Hagwilget Village Band Council,First Nation or Band,Wet'suwet'en,770,PO Box 460,New Hazelton,BC,V0J2J0,55.255,-127.603056
