CENSUS_SUBDIVISION_ID,ELEVATION_POINT,ELEVATION_MEAN,ELEVATION_MAX,ELEVATION_MIN
5941817,1118.0,1118.08598962,1133.0,1105.0
5941818,1153.0,1155.11764706,1167.0,1150.0
5941819,1143.0,1145.3811545,1155.0,1137.0
5941820,1167.0,1169.23333333,1179.0,1164.0
5941821,705.0,829.773126515,1152.0,650.0
5941827,1088.0,1095.00549379,1116.0,1081.0
5941828,1185.0,1182.64002478,1201.0,1173.0
5941829,1233.0,1209.70761309,1258.0,1170.0
5941831,1340.0,1290.08532718,1542.0,1211.0
5941833,1125.0,1038.9234102,1169.0,958.0
5941834,1092.0,1092.66218341,1111.0,1078.0
5941835,1007.0,1007.28702852,1034.0,1000.0
5941837,838.0,842.83776352,900.0,834.0
5941838,957.0,956.914438503,967.0,955.0
5941839,905.0,929.839279214,1088.0,883.0
5941840,1084.0,1092.24848305,1111.0,1083.0
5941841,707.0,744.444977785,954.0,622.0
5941842,1146.0,1148.1128149,1161.0,1133.0
5941843,1191.0,1190.25582298,1199.0,1184.0
5941844,1083.0,1085.19045148,1108.0,1072.0
5941845,1085.0,1086.5517882,1100.0,1083.0
5941846,1074.0,1075.10179641,1085.0,1071.0
5941847,993.0,1004.3266129,1050.0,988.0
5941848,1099.0,1101.35260516,1118.0,1092.0
5941849,985.0,986.3960217,1025.0,962.0
5941850,878.0,888.562018084,1100.0,700.0
5941851,1136.0,1132.90438517,1147.0,1125.0
5941852,820.0,816.236386139,862.0,804.0
5941854,1235.0,1237.80399386,1246.0,1233.0
5941855,809.0,810.071428571,816.0,807.0
5941856,1138.0,1140.39144893,1153.0,1134.0
5941858,1085.0,1088.55018912,1104.0,1081.0
5941859,1035.0,1036.51681957,1058.0,1031.0
5941860,1135.0,1146.03720508,1191.0,1127.0
5941861,1118.0,1117.92149354,1123.0,1111.0
5941862,1071.0,1070.26424546,1091.0,1062.0
5941863,1048.0,1045.66349481,1105.0,1032.0
5941864,1038.0,1043.37564767,1070.0,1031.0
5941865,936.0,942.019680851,975.0,926.0
5941866,802.0,810.430563798,865.0,797.0
5941868,921.0,917.98688429,972.0,892.0
